scene	lock_time	end_time	duration	status	image
118	673.020000	680.800000	7.780000	OK	scene_0117.png
119	680.800000	686.980000	6.180000	OK	scene_0118.png
120	686.980000	691.020000	4.040000	OK	scene_0119.png
121	691.020000	695.860000	4.840000	OK	scene_0120.png
122	695.860000	702.660000	6.800000	OK	scene_0121.png
123	702.660000	709.460000	6.800000	OK	scene_0122.png
124	709.460000	712.420000	2.960000	OK	scene_0123.png
125	712.420000	717.920000	5.500000	OK	scene_0124.png
126	717.920000	719.080000	1.160000	OK	scene_0125.png
127	719.080000	730.280000	11.200000	OK	scene_0126.png
128	730.280000	736.340000	6.060000	OK	scene_0127.png
129	736.340000	744.100000	7.760000	OK	scene_0128.png
130	744.100000	748.000000	3.900000	OK	scene_0129.png
131	748.000000	751.700000	3.700000	OK	scene_0130.png
132	751.700000	758.580000	6.880000	OK	scene_0131.png
133	758.580000	765.440000	6.860000	OK	scene_0132.png
134	765.440000	771.520000	6.080000	OK	scene_0133.png
135	771.520000	775.400000	3.880000	OK	scene_0134.png
136	775.400000	781.400000	6.000000	MISSING	scene_0135.png
137	781.400000	784.940000	3.540000	OK	scene_0136.png
138	784.940000	792.500000	7.560000	OK	scene_0137.png
140	792.500000	798.740000	6.240000	OK	scene_0139.png
141	798.740000	802.120000	3.380000	OK	scene_0140.png
142	802.120000	809.080000	6.960000	OK	scene_0141.png
143	809.080000	814.120000	5.040000	OK	scene_0142.png
144	814.120000	821.640000	7.520000	OK	scene_0143.png
145	821.640000	827.500000	5.860000	OK	scene_0144.png
146	827.500000	833.540000	6.040000	OK	scene_0145.png
147	833.540000	839.800000	6.260000	OK	scene_0146.png
148	839.800000	846.180000	6.380000	OK	scene_0147.png
149	846.180000	850.100000	3.920000	OK	scene_0148.png
150	850.100000	857.620000	7.520000	OK	scene_0149.png
151	857.620000	863.700000	6.080000	OK	scene_0150.png
152	863.700000	868.780000	5.080000	OK	scene_0151.png
153	868.780000	875.320000	6.540000	OK	scene_0152.png
154	875.320000	881.640000	6.320000	OK	scene_0153.png
155	881.640000	886.740000	5.100000	OK	scene_0154.png
156	886.740000	893.000000	6.260000	OK	scene_0155.png
157	893.000000	899.940000	6.940000	OK	scene_0156.png
158	899.940000	904.560000	4.620000	OK	scene_0157.png
159	904.560000	911.180000	6.620000	OK	scene_0158.png
160	911.180000	917.320000	6.140000	OK	scene_0159.png
161	917.320000	922.020000	4.700000	OK	scene_0160.png
162	922.020000	926.300000	4.280000	OK	scene_0161.png
163	926.300000	931.240000	4.940000	OK	scene_0162.png
164	931.240000	935.500000	4.260000	OK	scene_0163.png
165	935.500000	940.000000	4.500000	OK	scene_0164.png
167	940.000000	946.560000	6.560000	OK	scene_0166.png
168	946.560000	951.660000	5.100000	OK	scene_0167.png
169	951.660000	952.040000	0.380000	OK	scene_0168.png
170	952.040000	962.260000	10.220000	OK	scene_0169.png
171	962.260000	968.160000	5.900000	OK	scene_0170.png
172	968.160000	972.240000	4.080000	OK	scene_0171.png
173	972.240000	975.920000	3.680000	OK	scene_0172.png
174	975.920000	976.200000	0.280000	OK	scene_0173.png
175	976.200000	983.300000	7.100000	OK	scene_0174.png
176	983.300000	991.640000	8.340000	OK	scene_0175.png
177	991.640000	996.200000	4.560000	OK	scene_0176.png
178	996.200000	1002.040000	5.840000	OK	scene_0177.png
